name,value,domain,path,expires,size,HTTPOnly,secure,sameSite,partition Key Site,Cross Site,priority,phase,website,,,,,,
bm_sv,1C178CDCB956238126D89F672B0DDA34~YAAQBrMUAvB2KayaAQAAjrf6th1KXAsJ1xLouS8HKcNhltkI86xzQA3yj8MmQc+6Op7GroJHD5trfQ1ces2rcYwWDqNXujG+SOcxqNxoSpca8b8NygJvviFvVDfSNqtBwTd4ujv83jFmS4nZiUAk4kXatCDAz4oK1OTYx9mHpd9C5zZ8pI53yeDYGRV8G7fEgwa4gGoGdovAbX8/tRZwUkUVFtDHZT13s9fYxCt0TUnTY2jC9UmsgUFtfRbDlirQ~1,.intuit.com,/,2025-11-24T19:20:41.721Z,296,,✓,,,,Medium,reject,intuit.com,,,,,,
ccpa,1|0,.intuit.com,/,2026-11-25T01:47:58.000Z,7,,✓,None,,,Medium,reject,intuit.com,,,,,,
CONSENTMGR,c1:0%7Cc2:1%7Cc3:1%7Cc4:1%7Cc5:1%7Cc6:1%7Cc7:1%7Cc8:1%7Cc9:1%7Cc10:1%7Cc11:1%7Cc12:1%7Cc13:1%7Cc14:1%7Cc15:1%7Cc16:1%7Cts:1764006478378%7Cconsent:true,.intuit.com,/,2026-11-24T17:47:58.000Z,160,,,,,,Medium,reject,intuit.com,,,,,,
cpra,1|0,.intuit.com,/,2026-11-25T01:47:58.000Z,7,,✓,None,,,Medium,reject,intuit.com,,,,,,
gdpr,1|0|0|0,.intuit.com,/,2026-11-24T00:00:00.403Z,11,,✓,None,,,Medium,reject,intuit.com,,,,,,
ivid,a94304b9-01f0-47c7-95ef-3bffcf8d85c1,.intuit.com,/,2026-12-29T17:47:54.280Z,40,,✓,None,,,Medium,reject,intuit.com,,,,,,
OptanonAlertBoxClosed,2025-11-24T17:47:45.962Z,.intuit.com,/,2026-11-24T17:47:45.000Z,45,,,Lax,,,Medium,reject,intuit.com,,,,,,
OptanonConsent,isGpcEnabled=0&datestamp=Tue+Nov+25+2025+01%3A47%3A58+GMT%2B0800+(China+Standard+Time)&version=202501.1.0&browserGpcFlag=0&isIABGlobal=false&consentId=e4b44bef-804f-42fa-a456-8f10a52de133&interactionCount=2&isAnonUser=1&landingPath=NotLandingPage&groups=1%3A1%2CBG195%3A0%2C2%3A0%2CBG196%3A0%2C3%3A0%2CBG197%3A0%2C4%3A0%2CBG198%3A0&hosts=H317%3A0%2CH28%3A0%2CH343%3A0%2CH322%3A0%2CH336%3A0%2CH117%3A0%2CH118%3A0%2CH240%3A0%2CH238%3A0%2CH122%3A0%2CH123%3A0%2CH44%3A0%2CH124%3A0%2CH288%3A0%2CH289%3A0%2CH126%3A0%2CH315%3A0%2CH318%3A0%2CH130%3A0%2CH25%3A0%2CH26%3A0%2CH187%3A0%2CH323%3A0%2CH202%3A0%2CH27%3A0%2CH209%3A0%2CH45%3A0%2CH133%3A0%2CH134%3A0%2CH427%3A0%2CH428%3A0%2CH171%3A0%2CH114%3A0%2CH30%3A0%2CH328%3A0%2CH349%3A0%2CH12%3A0%2CH332%3A0%2CH33%3A0%2CH35%3A0%2CH335%3A0%2CH137%3A0%2CH138%3A0%2CH115%3A0%2CH203%3A0%2CH355%3A0%2CH140%3A0%2CH339%3A0&genVendors=&intType=2&geolocation=DE%3BHE&AwaitingReconsent=false,.intuit.com,/,2026-11-24T17:47:58.000Z,933,,,Lax,,,Medium,reject,intuit.com,,,,,,
utag_main__pn,4%3Bexp-session,.intuit.com,/,2025-11-24T18:17:58.000Z,28,,,,,,Medium,reject,intuit.com,,,,,,
utag_main__se,4%3Bexp-session,.intuit.com,/,2025-11-24T18:17:58.000Z,28,,,,,,Medium,reject,intuit.com,,,,,,
utag_main__sn,2,.intuit.com,/,2026-11-24T17:47:58.000Z,14,,,,,,Medium,reject,intuit.com,,,,,,
utag_main__ss,0%3Bexp-session,.intuit.com,/,2025-11-24T18:17:58.000Z,28,,,,,,Medium,reject,intuit.com,,,,,,
utag_main__st,1764008278370%3Bexp-session,.intuit.com,/,2025-11-24T18:17:58.000Z,40,,,,,,Medium,reject,intuit.com,,,,,,
utag_main_ses_id,1764004846572%3Bexp-session,.intuit.com,/,2025-11-24T18:17:58.000Z,43,,,,,,Medium,reject,intuit.com,,,,,,
"
__cf_bm",H_a9BT5.0SURlJK45REiHcSIE79oZ3xxhcbYIj2ChS8-1764006595.7650578-1.0.1.1-fjR5vQs27Hyvmc4zyicZFAQYSeJVZRqs7HYsYPuxBo5FS54.TwaZ.8.vLfznTg7hqbQ2TE7tlAwnyJwW0fami9F.ZGBxIiZ9B3KzSfDfGUZrPBNI5fLIWBDVE1WnUOhl,.t.co,/,2025-11-24T18:19:55.941Z,206,✓,✓,,,,Medium,accept,intuit.com,,,,,,
__cf_bm,PJLd0KpDjkTiavIbMeYdbrT2NsIH9V5yHWlCd2f6MFs-1764006596.0156145-1.0.1.1-rZbVNbn0mwMAV4cTDC8jxw9Y2p33o1wwLW50jga9dCSSC5cyYFsUAMGLwa2.u6_xQgJPsb9ClZAQW5RfPX1ELAW4H5nR8oV2eWJJ9grEMUFbbPCoyoOMAs3BKTIPvQvz,.twitter.com,/,2025-11-24T18:19:56.273Z,206,✓,✓,,,,Medium,accept,intuit.com,,,,,,
_fbp,fb.1.1764006597095.303370379989113582,.intuit.com,/,2026-02-22T17:49:57.000Z,41,,,Lax,,,Medium,accept,intuit.com,,,,,,
_ga,GA1.1.2003638067.1764006598,.intuit.com,/,2026-12-29T17:49:57.978Z,30,,,,,,Medium,accept,intuit.com,,,,,,
_ga_B0XHEYG9RN,GS2.1.s1764006597$o1$g0$t1764006597$j60$l0$h0,.intuit.com,/,2026-12-29T17:49:57.977Z,59,,,,,,Medium,accept,intuit.com,,,,,,
_gcl_au,1.1.1439788792.1764006595,.intuit.com,/,2026-02-22T17:49:55.000Z,32,,,,,,Medium,accept,intuit.com,,,,,,
_ScCbts,%5B%5D,.intuit.com,/,2025-12-01T17:49:58.000Z,13,,,Lax,,,Medium,accept,intuit.com,,,,,,
_scid,dsainY0rLmVPRLBYkd_TfGzbbh9AVQM4,.intuit.com,/,2026-12-24T17:49:57.000Z,37,,,Lax,,,Medium,accept,intuit.com,,,,,,
_scid_r,dsainY0rLmVPRLBYkd_TfGzbbh9AVQM4,.intuit.com,/,2026-12-24T17:49:57.000Z,39,,,Lax,,,Medium,accept,intuit.com,,,,,,
_tt_enable_cookie,1,.intuit.com,/,2026-12-19T17:49:59.000Z,18,,,,,,Medium,accept,intuit.com,,,,,,
_ttp,01KAVFS77F2QPYC9TC8FJBP2N3_.tt.1,.intuit.com,/,2026-12-19T17:49:59.000Z,36,,,,,,Medium,accept,intuit.com,,,,,,
_ttp,35w21N3yH4xbuMwJYno2BpqECED,.tiktok.com,/,2026-12-19T17:49:57.387Z,31,,✓,None,,,Medium,accept,intuit.com,,,,,,
ajs_anonymous_id,dc7ac6c2-2bc8-4cd3-88ca-e94fd28a084e,.intuit.com,/,2026-11-24T17:50:01.000Z,52,,,Lax,,,Medium,accept,intuit.com,,,,,,
ak_bmsc,686E0A439CA42C2027760983F9644A15~000000000000000000000000000000~YAAQBrMUAliiKayaAQAAvUT8th3bJQN33a5pwjZ7tcXAU1LLzDTGiKVpXCiY4zmQbM3f0PsjtQMeY9DQ8MHg7ZuEU7kfz7IRmVSpX948/5B8jaRZ3HVYMw1Gdu/3U+6iKXDi2wMi5+3VhfxrrMe6pXSPqlKLJMTXq0/y7TP2JhbNyBtXk/dFpth9rwf5I2PgvnAZEob0GZGIoIlzNl7O2NSnQ50F8uKoe/DlUiZpPaEd5LYuzmjZOwnu9swE2ZFeddDa+7ij3QhOinsVh+ecv2ZEXyVxKMv+RFj1ae1fNTRNalNSd+Ak2Nw65MRYdqD7NBz3hgfsKzzmE8nDtHPoTJo7Lmor5l30M8wzu29MRu5+Osg3MehOTuyVWawmsC7SBz9djrXHQuXlazU=,.intuit.com,/,2025-11-24T19:49:37.401Z,471,✓,,,,,Medium,accept,intuit.com,,,,,,
AKA_A2,A,.intuit.com,/,2025-11-24T18:49:37.401Z,7,✓,✓,,,,Medium,accept,intuit.com,,,,,,
AKES_GEO,DE~HE,.intuit.com,/,Session,13,,✓,,,,Medium,accept,intuit.com,,,,,,
canary,1,.mi.com,/,2026-02-24T17:54:44.167Z,7,,,,,,Medium,na,mi.com,,,,,,
notice_behavior,"implied,eu",.mi.com,/,Session,25,,✓,Lax,,,Medium,na,mi.com,,,,,,
notice_gdpr_prefs_copy,0%3A,.mi.com,/global,2026-12-24T17:54:44.000Z,26,,,,,,Medium,na,mi.com,,,,,,
policy_notice_pre,0%3A,.mi.com,/global,2026-12-24T17:54:44.000Z,21,,,,,,Medium,na,mi.com,,,,,,
RT,"""z=1&dm=www.mi.com&si=b172dff8-3d50-4506-bbd6-b799505b934a&ss=midg496x&sl=3&tt=l4a&bcn=%2F%2F0217991a.akstat.io%2F&ld=194i""",.www.mi.com,/,2025-12-01T17:54:43.000Z,125,,,Lax,,,Medium,na,mi.com,,,,,,
TAsessionID,4c39c217-a3b3-4036-8adb-c5225db76f5e|NEW,.mi.com,/,2025-11-24T18:23:56.000Z,51,,✓,Lax,,,Medium,na,mi.com,,,,,,
xm_geo,DE,.mi.com,/,Session,8,,,,,,Medium,na,mi.com,,,,,,
xm_user_bucket,4,.mi.com,/,2026-12-24T16:14:14.420Z,15,,,,,,Medium,na,mi.com,,,,,,
xmuuid,XMGUEST-768C96EC-1DC8-766A-C726-F3AEEC68A740,.mi.com,/,2026-02-24T16:14:19.906Z,50,,,,,,Medium,na,mi.com,,,,,,
canary,1,.mi.com,/,2026-02-24T17:55:53.506Z,7,,,,,,Medium,re,mi.com,,,,,,
cmapi_cookie_privacy,permit 1 required,.mi.com,/,2026-12-24T17:55:49.000Z,37,,✓,Lax,,,Medium,re,mi.com,,,,,,
cmapi_gtm_bl,ga-ms-ua-ta-asp-bzi-sp-awct-cts-csm-img-flc-fls-mpm-mpr-m6d-tc-tdc,.mi.com,/,2026-12-24T17:55:49.000Z,78,,✓,Lax,,,Medium,re,mi.com,,,,,,
notice_behavior,"implied,eu",.mi.com,/,Session,25,,✓,Lax,,,Medium,re,mi.com,,,,,,
notice_gdpr_prefs,0:,.mi.com,/,2026-12-24T17:55:49.000Z,19,,✓,Lax,,,Medium,re,mi.com,,,,,,
notice_gdpr_prefs_copy,0%3A,.mi.com,/global,2026-12-24T17:54:44.000Z,26,,,,,,Medium,re,mi.com,,,,,,
notice_preferences,0:,.mi.com,/,2026-12-24T17:55:49.000Z,20,,✓,Lax,,,Medium,re,mi.com,,,,,,
policy_notice_pre,0%3A,.mi.com,/global,2026-12-24T17:54:44.000Z,21,,,,,,Medium,re,mi.com,,,,,,
RT,"""z=1&dm=www.mi.com&si=b172dff8-3d50-4506-bbd6-b799505b934a&ss=midg496x&sl=4&tt=pjg&bcn=%2F%2F0217991a.akstat.io%2F&ld=2svw""",.www.mi.com,/,2025-12-01T17:55:55.000Z,125,,,Lax,,,Medium,re,mi.com,,,,,,
TAconsentID,68118a8c-6742-4d3a-8884-43fcca55edc7,.mi.com,/,2026-12-24T17:55:49.000Z,47,,✓,Lax,,,Medium,re,mi.com,,,,,,
TAsessionID,4c39c217-a3b3-4036-8adb-c5225db76f5e|NEW,.mi.com,/,2025-11-24T18:23:56.000Z,51,,✓,Lax,,,Medium,re,mi.com,,,,,,
xm_geo,DE,.mi.com,/,Session,8,,,,,,Medium,re,mi.com,,,,,,
xm_user_bucket,4,.mi.com,/,2026-12-24T16:14:14.420Z,15,,,,,,Medium,re,mi.com,,,,,,
xmuuid,XMGUEST-768C96EC-1DC8-766A-C726-F3AEEC68A740,.mi.com,/,2026-02-24T16:14:19.906Z,50,,,,,,Medium,re,mi.com,,,,,,
__Secure-BUCKET,CKEF,.google.com,/,2026-05-23T16:32:16.810Z,19,✓,✓,Lax,,,Medium,ac,mi.com,,,,,,
__Secure-ENID,29.SE=H8mUeOy_eeHoAk7Xvb-feH0R6RtBpwA7hz7Cm6xYkpIqF52RyUHiU9vJnJzxpi5HJy5KbfVeaSs70pZwJvrmr_cU9l9lqz5am2xRCJNJPwllXp8f061H0JQp5rFd1JK4n5Sd_ErMpQw0LozdF7Em2txXV2p9s0NVBfEiklTe1SJTrvdlvfF-lhX0aCLL3m-l64rbGOixETzeHrIvvJ2ye0KR49Zo2jUH9g1uaWQMxRAhbDyR-sNAxjuPMgCueF1-BcbP07u-oDzYsX4wuayf-5v-Fzrw19M,.google.com,/,2026-12-25T08:48:33.810Z,306,✓,✓,Lax,,,Medium,ac,mi.com,,,,,,
__Secure-STRP,ADq1D7pQp4kBMbct6uvbxJAJH9dNGOA50cai0jbZKNz7BuKJOM4IUmSP5lrNTM4RJH307jlE8mG7Ekv2AUjzgyLc6p_A5xr7FmGs,.google.com,/,2025-11-24T17:58:50.565Z,113,,✓,Strict,,,Medium,ac,mi.com,,,,,,
_ga,GA1.1.804540064.1764007005,.mi.com,/,2026-12-29T17:56:46.497Z,29,,,,,,Medium,ac,mi.com,,,,,,
_ga_M7BZ346GN7,GS2.1.s1764007006$o1$g1$t1764007006$j60$l0$h0,.mi.com,/,2026-12-29T17:56:46.575Z,59,,,,,,Medium,ac,mi.com,,,,,,
_ga_TN8XYTFEY2,GS2.1.s1764007005$o1$g0$t1764007005$j60$l0$h0,.mi.com,/,2026-12-29T17:56:45.439Z,59,,,,,,Medium,ac,mi.com,,,,,,
_gat_gtag_UA_213608374_11,1,.mi.com,/,2025-11-24T17:57:46.000Z,26,,,,,,Medium,ac,mi.com,,,,,,
_gcl_au,1.1.1340958710.1764007001,.mi.com,/,2026-02-22T17:56:41.000Z,32,,,,,,Medium,ac,mi.com,,,,,,
_gid,GA1.2.1485318199.1764007006,.mi.com,/,2025-11-25T17:56:46.000Z,31,,,,,,Medium,ac,mi.com,,,,,,
_ot_curr_uri_path,https://www.mi.com/global/support/safety-notice/,.mi.com,/global,Session,65,,,Strict,,,Medium,ac,mi.com,,,,,,
_ot_instance_id,dgtsnxql1zzhbcum7xrybjfejhe17dw4,.mi.com,/global,2026-12-24T17:56:46.000Z,47,,,Strict,,,Medium,ac,mi.com,,,,,,
_ot_last_source,,.mi.com,/global,2025-11-24T18:26:46.000Z,15,,,Strict,,,Medium,ac,mi.com,,,,,,
_ot_last_time,1764007006509,.mi.com,/global,Session,26,,,Strict,,,Medium,ac,mi.com,,,,,,
_ot_prev_uri_path,https://www.mi.com/global/support/safety-notice/,.mi.com,/global,Session,65,,,Strict,,,Medium,ac,mi.com,,,,,,
_ot_ref_b,support_safety-notice,.mi.com,/global,Session,30,,,Strict,,,Medium,ac,mi.com,,,,,,
_ot_ref_tip,,.mi.com,/global,Session,11,,,Strict,,,Medium,ac,mi.com,,,,,,
__Secure-BUCKET,CKEF,.google.com,/,2026-05-23T16:32:16.810Z,19,✓,✓,Lax,,,Medium,ac,mi.com,,,,,,
__Secure-ENID,29.SE=H8mUeOy_eeHoAk7Xvb-feH0R6RtBpwA7hz7Cm6xYkpIqF52RyUHiU9vJnJzxpi5HJy5KbfVeaSs70pZwJvrmr_cU9l9lqz5am2xRCJNJPwllXp8f061H0JQp5rFd1JK4n5Sd_ErMpQw0LozdF7Em2txXV2p9s0NVBfEiklTe1SJTrvdlvfF-lhX0aCLL3m-l64rbGOixETzeHrIvvJ2ye0KR49Zo2jUH9g1uaWQMxRAhbDyR-sNAxjuPMgCueF1-BcbP07u-oDzYsX4wuayf-5v-Fzrw19M,.google.com,/,2026-12-25T08:48:33.810Z,306,✓,✓,Lax,,,Medium,ac,mi.com,,,,,,
__Secure-STRP,ADq1D7pQp4kBMbct6uvbxJAJH9dNGOA50cai0jbZKNz7BuKJOM4IUmSP5lrNTM4RJH307jlE8mG7Ekv2AUjzgyLc6p_A5xr7FmGs,.google.com,/,2025-11-24T17:58:50.565Z,113,,✓,Strict,,,Medium,ac,mi.com,,,,,,
AEC,AaJma5uf_5qNGfkwWrtehbNSOtVvdU1jHXYjPFoztjgbnIg4rwJIuHNrhg,.google.com,/,2026-05-23T16:30:15.427Z,61,✓,✓,Lax,,,Medium,ac,mi.com,,,,,,
SOCS,CAESHwgCEhJnd3NfMjAyNTExMjAtMF9SQzEaBXpoLUNOIAEaBgiAwI7JBg,.google.com,/,2026-12-24T16:32:16.810Z,62,,✓,Lax,,,Medium,ac,mi.com,,,,,,
_abck,C4DECD5B1DEF3897203A6628961E507B~-1~YAAQhyV+aEVcPq2aAQAAzTXBtg7Mu4qa9ljHf9VFwc1cCHZrvGT1wlGFLvKAcBUywSFxKuspexYhM0OyaQrN7Ao7lCM6jcb/I0CmFQmuQOLU4QWnzO1c0WifR9YkiTj3DMYtBtfe9JaEhRB07no+9mejbgRkL8zwXrq8p/Pp+WKLnJl/4ckchz36rwLenwpb48iQcW7usOa2QpAZJ4Q0V/z09pH9H2ybA1K4z6ysnLuHdTR4KvUZT6Yed1uIeePOZNJdYNGQ0WxyEWu+wF3Hf4tBB2mnGXo5EDlwkgOV1krnEGvO0oJljzyUTEqIShHPdJvwIrFpMBZ0unuBfCL3e2d+rgCZA1B4FwZpT29Fur3Lve0HI664cp8JxA1CYZNBodbqdeEeMgsd9KjmhvXoiKBYG+WeX/xwGiAOuQIA0eq97iRnHRT8cAJJtVu2BQxpcJ6yigySzTLoiY6u~-1~-1~-1~-1~-1,.salesforce.com,/,2026-11-24T16:45:06.968Z,520,,✓,,,,Medium,na,salesforce.com,,,,,,
ak_loc,"cc:DE,ct:FRANKFURT,st:HE,msa:HE,pmsa:HE",www.salesforce.com,/,Session,45,,,,,,Medium,na,salesforce.com,,,,,,
akacd_Canary_Release_PROD,1795538707~rv=48~id=f8cc1ec474efc173cdde8fd5d9272769,www.salesforce.com,/,2026-11-24T16:45:07.347Z,77,,✓,None,,,Medium,na,salesforce.com,,,,,,
bm_sz,EA9B5E3517545703B645D1B5524111B8~YAAQhyV+aGdcPq2aAQAASDfBth0+skm02VXX4N5VXHDuETzclHouHIe+WH39ukagNnSY9ClV+VEKKXD5g084GD/b7x+F1rhgEcYwwk7IR8+kVRCokYwU4mfR2MQB/BQdX6wF1JXPzJEN1OgI2UUKM9DJEpNISRsJRDgW9KtkQ8sW28PbiasTBlzqRsqwEGMu4GfBHbez+i1w4eJ6Wy5IM3dQeIZYqS52lyK8Oc7KMIoEPG7Gk325SChnIDwuHQkNz3AIWSV64MducnwE/9J1C7en9YfRnbFN/ax9PMLk4hdU/j/slpN5aWztRh5+QMk/H78UQ/8vGXC0+OwPik2ajudbuvQiwWlcfLCekrr3L2RGeeAshZ9LxOpPn92GXDDmsAr3OWkzwV2yrSPez1essrBCdpe2Og==~3556934~4604729,.salesforce.com,/,2025-11-24T20:45:06.347Z,470,,,,,,Medium,na,salesforce.com,,,,,,
BOOMR_CONSENT,"""opted-out""",.www.salesforce.com,/,2026-11-24T16:45:15.000Z,24,,✓,None,,,Medium,na,salesforce.com,,,,,,
OptanonConsent,isGpcEnabled=0&datestamp=Tue+Nov+25+2025+00%3A45%3A12+GMT%2B0800+(China+Standard+Time)&version=202408.1.0&browserGpcFlag=0&isIABGlobal=false&hosts=&consentId=0dbc95da-1ce9-4e8a-8487-3d73b0443378&interactionCount=0&isAnonUser=1&landingPath=https%3A%2F%2Fwww.salesforce.com%2Fde%2F%3Fir%3D1&groups=1%3A1%2C3%3A0%2C4%3A0,.salesforce.com,/,2026-11-24T16:45:12.000Z,331,,,Lax,,,Medium,na,salesforce.com,,,,,,
sfdcConsent,1,.salesforce.com,/,2026-11-24T16:45:12.000Z,12,,,,,,Medium,na,salesforce.com,,,,,,
_abck,C4DECD5B1DEF3897203A6628961E507B~-1~YAAQhyV+aEVcPq2aAQAAzTXBtg7Mu4qa9ljHf9VFwc1cCHZrvGT1wlGFLvKAcBUywSFxKuspexYhM0OyaQrN7Ao7lCM6jcb/I0CmFQmuQOLU4QWnzO1c0WifR9YkiTj3DMYtBtfe9JaEhRB07no+9mejbgRkL8zwXrq8p/Pp+WKLnJl/4ckchz36rwLenwpb48iQcW7usOa2QpAZJ4Q0V/z09pH9H2ybA1K4z6ysnLuHdTR4KvUZT6Yed1uIeePOZNJdYNGQ0WxyEWu+wF3Hf4tBB2mnGXo5EDlwkgOV1krnEGvO0oJljzyUTEqIShHPdJvwIrFpMBZ0unuBfCL3e2d+rgCZA1B4FwZpT29Fur3Lve0HI664cp8JxA1CYZNBodbqdeEeMgsd9KjmhvXoiKBYG+WeX/xwGiAOuQIA0eq97iRnHRT8cAJJtVu2BQxpcJ6yigySzTLoiY6u~-1~-1~-1~-1~-1,.salesforce.com,/,2026-11-24T16:45:06.968Z,520,,✓,,,,Medium,re,salesforce.com,,,,,,
ak_loc,"cc:DE,ct:FRANKFURT,st:HE,msa:HE,pmsa:HE",www.salesforce.com,/,Session,45,,,,,,Medium,re,salesforce.com,,,,,,
AKA_A2,A,.salesforce.com,/,2025-11-24T19:01:38.796Z,7,✓,✓,,,,Medium,re,salesforce.com,,,,,,
akacd_Canary_Release_PROD,1795538707~rv=48~id=f8cc1ec474efc173cdde8fd5d9272769,www.salesforce.com,/,2026-11-24T16:45:07.347Z,77,,✓,None,,,Medium,re,salesforce.com,,,,,,
bm_sz,EA9B5E3517545703B645D1B5524111B8~YAAQ3WZWuNjtgqSaAQAAuUYHtx2VtFcPj54gNOiyQ1IUrjJWGEhYq5yhOiJ5SzDod0T8lToIfSVL+r12EvlGLqwRZKM3E5WZAnrFw2bz+i+HEXivl6eu8K25+3gog1tGowMAOpwtcIygMONp9DvgMl6mLflFttQGykut/Y9n3QgQMy2VOnQO+cjOTBYwu/GzyAosbE7IoLKdLwhCjyC+J35tc1a8sEtMIyFqNmskOVu9wUE3GsOjJV7DsDEQLTDP5NZRgVADHfWbh4QR6nliQ3/XE85LP6Q7GsEAfNU0sp58RYqlEHU5dwQUKqZa1jbqdO7fxKrdjkcumOwENAXL27tFUcdZYgvnCzOMMqFnjJAHKBwhPUnsd7bXpk3yLpoUV7nbYpkenSfZU2JiFgI94RIvTrVD5SnLZnNuvF3ILfhY~3556934~4604729,.salesforce.com,/,2025-11-24T20:45:06.796Z,482,,,,,,Medium,re,salesforce.com,,,,,,
BOOMR_CONSENT,"""opted-out""",.www.salesforce.com,/,2026-11-24T16:45:15.000Z,24,,✓,None,,,Medium,re,salesforce.com,,,,,,
